"","WORD","FREQ","FREQ_1","total_word","prob","ln_prob"
"1328","lostenores","1",2,19190,0.000104220948410631,-9.1689974084418
"1329","lovato","1",2,19190,0.000104220948410631,-9.1689974084418
"1330","luca","1",2,19190,0.000104220948410631,-9.1689974084418
"1331","ludwika","1",2,19190,0.000104220948410631,-9.1689974084418
"1332","luego","3",4,19190,0.000208441896821261,-8.47585022788186
"1333","lugo","1",2,19190,0.000104220948410631,-9.1689974084418
"1334","luis","1",2,19190,0.000104220948410631,-9.1689974084418
"1335","luisbanck","1",2,19190,0.000104220948410631,-9.1689974084418
"1336","lujoso","1",2,19190,0.000104220948410631,-9.1689974084418
"1337","lvaro","1",2,19190,0.000104220948410631,-9.1689974084418
"1338","madres","2",3,19190,0.000156331422615946,-8.76353230033364
"1339","maduro","258",259,19190,0.0134966128191767,-4.30531652730221
"1340","magica","1",2,19190,0.000104220948410631,-9.1689974084418
"1341","magisterio","1",2,19190,0.000104220948410631,-9.1689974084418
"1342","magistrad","1",2,19190,0.000104220948410631,-9.1689974084418
"1343","magistrados","1",2,19190,0.000104220948410631,-9.1689974084418
"1344","mail","1",2,19190,0.000104220948410631,-9.1689974084418
"1345","mala","1",2,19190,0.000104220948410631,-9.1689974084418
"1346","maluma","1",2,19190,0.000104220948410631,-9.1689974084418
"1347","malware","1",2,19190,0.000104220948410631,-9.1689974084418
"1348","mandan","1",2,19190,0.000104220948410631,-9.1689974084418
"1349","manifestaciones","1",2,19190,0.000104220948410631,-9.1689974084418
"1350","manolete","1",2,19190,0.000104220948410631,-9.1689974084418
"1351","marathon","1",2,19190,0.000104220948410631,-9.1689974084418
"1352","marcaje","1",2,19190,0.000104220948410631,-9.1689974084418
"1353","marcel","1",2,19190,0.000104220948410631,-9.1689974084418
"1354","marcelobarti","1",2,19190,0.000104220948410631,-9.1689974084418
"1355","marin","1",2,19190,0.000104220948410631,-9.1689974084418
"1356","marioaleon","1",2,19190,0.000104220948410631,-9.1689974084418
"1357","mastercard","1",2,19190,0.000104220948410631,-9.1689974084418
"1358","matamoros","1",2,19190,0.000104220948410631,-9.1689974084418
"1359","matices","1",2,19190,0.000104220948410631,-9.1689974084418
"1360","matutina","1",2,19190,0.000104220948410631,-9.1689974084418
"1361","maximiliano","1",2,19190,0.000104220948410631,-9.1689974084418
"1362","maximo","1",2,19190,0.000104220948410631,-9.1689974084418
"1363","mdd","1",2,19190,0.000104220948410631,-9.1689974084418
"1364","mdp","1",2,19190,0.000104220948410631,-9.1689974084418
"1365","mebds","1",2,19190,0.000104220948410631,-9.1689974084418
"1366","medi","1",2,19190,0.000104220948410631,-9.1689974084418
"1367","mediasrojas","1",2,19190,0.000104220948410631,-9.1689974084418
"1368","medicina","1",2,19190,0.000104220948410631,-9.1689974084418
"1369","medicos","1",2,19190,0.000104220948410631,-9.1689974084418
"1370","medina","1",2,19190,0.000104220948410631,-9.1689974084418
"1371","mediocampo","1",2,19190,0.000104220948410631,-9.1689974084418
"1372","medios","1",2,19190,0.000104220948410631,-9.1689974084418
"1373","melissa","1",2,19190,0.000104220948410631,-9.1689974084418
"1374","menendez","1",2,19190,0.000104220948410631,-9.1689974084418
"1375","metrobuses","1",2,19190,0.000104220948410631,-9.1689974084418
"1376","metropoli","1",2,19190,0.000104220948410631,-9.1689974084418
"1377","mich","1",2,19190,0.000104220948410631,-9.1689974084418
"1378","miedo","2",3,19190,0.000156331422615946,-8.76353230033364
"1379","mierda","1",2,19190,0.000104220948410631,-9.1689974084418
"1380","millonario","1",2,19190,0.000104220948410631,-9.1689974084418
"1381","mina","1",2,19190,0.000104220948410631,-9.1689974084418
"1382","mini","1",2,19190,0.000104220948410631,-9.1689974084418
"1383","minilic","1",2,19190,0.000104220948410631,-9.1689974084418
"1384","minima","1",2,19190,0.000104220948410631,-9.1689974084418
"1385","minuto","1",2,19190,0.000104220948410631,-9.1689974084418
"1386","mireya","1",2,19190,0.000104220948410631,-9.1689974084418
"1387","mis","2",3,19190,0.000156331422615946,-8.76353230033364
"1388","misterchip","1",2,19190,0.000104220948410631,-9.1689974084418
"1389","mlbpuertorico","1",2,19190,0.000104220948410631,-9.1689974084418
"1390","mlbvenezuela","1",2,19190,0.000104220948410631,-9.1689974084418
"1391","mls","1",2,19190,0.000104220948410631,-9.1689974084418
"1392","modalidades","1",2,19190,0.000104220948410631,-9.1689974084418
"1393","momento","1",2,19190,0.000104220948410631,-9.1689974084418
"1394","monto","1",2,19190,0.000104220948410631,-9.1689974084418
"1395","morazan","1",2,19190,0.000104220948410631,-9.1689974084418
"1396","more","1",2,19190,0.000104220948410631,-9.1689974084418
"1397","motagua","1",2,19190,0.000104220948410631,-9.1689974084418
"1398","motivado","1",2,19190,0.000104220948410631,-9.1689974084418
"1399","motivos","1",2,19190,0.000104220948410631,-9.1689974084418
"1400","movimientos","1",2,19190,0.000104220948410631,-9.1689974084418
"1401","mpguatemala","1",2,19190,0.000104220948410631,-9.1689974084418
"1402","ms","2",3,19190,0.000156331422615946,-8.76353230033364
"1403","mtv","1",2,19190,0.000104220948410631,-9.1689974084418
"1404","muere","1",2,19190,0.000104220948410631,-9.1689974084418
"1405","muestran","1",2,19190,0.000104220948410631,-9.1689974084418
"1406","multa","1",2,19190,0.000104220948410631,-9.1689974084418
"1407","multar","1",2,19190,0.000104220948410631,-9.1689974084418
"1408","multas","1",2,19190,0.000104220948410631,-9.1689974084418
"1409","mundial","1",2,19190,0.000104220948410631,-9.1689974084418
"1410","munich","1",2,19190,0.000104220948410631,-9.1689974084418
"1411","municipios","1",2,19190,0.000104220948410631,-9.1689974084418
"1412","muriel","1",2,19190,0.000104220948410631,-9.1689974084418
"1413","muro","1",2,19190,0.000104220948410631,-9.1689974084418
"1414","music","1",2,19190,0.000104220948410631,-9.1689974084418
"1415","nacimientos","1",2,19190,0.000104220948410631,-9.1689974084418
"1416","nacio","1",2,19190,0.000104220948410631,-9.1689974084418
"1417","nacionales","2",3,19190,0.000156331422615946,-8.76353230033364
"1418","nadie","1",2,19190,0.000104220948410631,-9.1689974084418
"1419","nani","1",2,19190,0.000104220948410631,-9.1689974084418
"1420","narcomenudistas","1",2,19190,0.000104220948410631,-9.1689974084418
"1421","naturales","1",2,19190,0.000104220948410631,-9.1689974084418
"1422","naucalpan","1",2,19190,0.000104220948410631,-9.1689974084418
"1423","necesita","2",3,19190,0.000156331422615946,-8.76353230033364
"1424","necesito","1",2,19190,0.000104220948410631,-9.1689974084418
